productid,ean
1986,5901477111808
6855,5901477155680
1988,5901477114496
1989,5901477114502
1990,5901477107443
1991,5901477114601
1992,5901477107450
1995,5901477114625
1996,5901477114632
3085,5901477133909
1997,5901477119408
2000,5901477111815
2002,5901477123672
2003,5901477107634
2004,5901477111822
2005,5901477114731
2006,5901477143199
2007,5901477119279
2008,5901477107603
2009,5901477114700
2010,5901477114861
2011,5901477131554
2015,5901477114915
2021,5901477114670
2022,5901477107733
2023,5901477107740
2024,5901477107757
2026,5901477115011
2027,5901477115028
2028,5901477107481
2029,5901477128240
2030,5901477107375
2031,5901477115004
2032,5901477119330
2570,5901477108020
2033,5901477122866
2034,5901477107382
2035,5901477133701
2036,5901477107399
2037,5901477130922
2038,5901477123610
2039,5901477107405
2040,5901477123597
2041,5901477128257
2042,5901477119286
2043,5901477119392
2044,5901477119439
2045,5901477107412
2046,5901477129988
2047,5901477130021
2048,5901477107429
2049,5901477114724
2050,5901477119293
2051,5901477131288
2052,5901477107436
2053,5901477120107
2054,5901477120114
2055,5901477120121
2056,5901477120138
2057,5901477127960
2058,5901477119354
2059,5901477130014
2060,5901477122774
2061,5901477111785
2062,5901477131578
2063,5901477114588
2064,5901477117503
2065,5901477117497
2066,5901477114762
2067,5901477120091
2571,5901477109676
3086,5901477133916
2068,5901477114816
2069,5901477119224
2070,5901477114878
2071,5901477114885
2072,5901477114892
2073,5901477117404
3087,5901477133923
2074,5901477114847
2075,5901477130939
2076,5901477114526
2077,5901477120435
2078,5901477114427
2079,5901477122767
2080,5901477123092
2081,5901477123788
6856,5901477155697
2082,5901477123061
2083,5901477114434
2084,5901477121081
2085,5901477129339
2086,5901477131257
2087,5901477123108
2088,5901477105401
2089,5901477120930
2090,5901477105418
2091,5901477105425
6857,5901477155703
2092,5901477105432
2094,5901477105456
2095,5901477105463
2097,5901477105487
2098,5901477105494
2572,5901477109683
2099,5901477124907
2100,5901477128493
2101,5901477127779
2102,5901477128264
2103,5901477128271
2104,5901477119248
2105,5901477119255
2106,5901477119323
2107,5901477119347
2108,5901477119316
2109,5901477122712
2110,5901477122736
2111,5901477122743
2112,5901477122750
2113,5901477122002
2114,5901477122026
2115,5901477122064
2573,5901477118388
2116,5901477122071
2117,5901477122088
2118,5901477122187
2119,5901477122323
2120,5901477124044
6858,5901477155710
2121,5901477122507
2122,5901477122514
2123,5901477122668
2124,5901477124051
2125,5901477124075
2126,5901477123207
2574,5901477109690
2127,5901477133299
2128,5901477133251
2129,5901477130915
2130,5901477131547
2131,5901477131592
2132,5901477131608
2575,5901477109706
2576,5901477109713
2133,5901477116636
2135,5901477116650
2136,5901477116674
2137,5901477133046
2138,5901477132056
2139,5901477117367
2145,5901477117374
2146,5901477117381
2147,5901477117398
2148,5901477121869
2149,5901477121876
2150,5901477121883
2151,5901477121890
2152,5901477121906
2153,5901477133688
2154,5901477121913
2155,5901477121920
2156,5901477121937
2157,5901477128318
2158,5901477128325
2159,5901477128332
2160,5901477121609
2161,5901477121616
2162,5901477121623
2163,5901477121630
2164,5901477121647
2165,5901477121654
2166,5901477121661
2167,5901477121678
2168,5901477121685
2169,5901477121692
2170,5901477121708
2171,5901477121715
2172,5901477121722
2173,5901477128301
2179,5901477117077
2180,5901477117084
2181,5901477117091
2182,5901477117107
